Solvent_no.,NAME,COSMO_name,CAS,MF,MW,Density,Molar_volume,Refractive_index,Mol._refr._pow.,Dielectric_constant,Dipole_moment,Melting_point,Boiling_point,Viscosity,lnP,Vapour_pressure,Henry's_constant,lngamma,HBA,neutral,HBD,s1,s2,s3,s4,s5,conv,d.e.
1,2-butanol,2-butanol,78-92-2,C4H10O,74,0.807,92,1.395,22.02,16.56,1.41,-115,100,2.26,0.98,20.86,2408.21,0.15,0.64,10.88,1.05,0.25,0.98,9.98,0.77,0.59,61,71
2,2-pentanone,2-pentanone,107-87-9,C5H10O,86,0.808,107,1.39,25.27,15.45,2.7,-78,101,0.49,0.9,52.48,2227.41,-0.28,0.01,12.54,1.53,0,2.19,9.97,1.56,0.36,66,56
3,4-methyl-2-pentanone,4-methyl-2-pentanone,108-10-1,C6H12O,100,0.801,125,1.396,30.03,13.11,2.69,-85,118,0.55,1.44,22.8,2014.07,0.12,0.01,14.22,1.45,0,2.14,11.74,1.48,0.33,71,56
4,2-propanone,acetone,67-64-1,C3H6O,58,0.79,74,1.359,16.17,21.4,2.69,-97,57,0.35,-0.3,28.99,3009.7,-0.62,0.02,8.58,1.66,0,2.74,5.5,1.67,0.36,62,56
5,cyclohexanone,cyclohexanone,108-94-1,C6H10O,98,0.948,104,1.448,27.71,18.2,3.06,-32,156,0.9,0.9,6.6,2164.87,-0.23,0,12.17,1.68,0,1.57,10.24,1.65,0.39,60,56
6,2-butanone,butanone,78-93-3,C4H8O,72,0.805,90,1.379,20.69,18.51,2.76,-86,80,0.41,0.37,156.69,2538.41,-0.37,0.01,10.55,1.53,0,2.38,7.77,1.58,0.35,67,56
7,toluene,toluene,108-88-3,C7H8,92,0.867,106,1.497,31.1,2.38,0.31,-93,111,0.71,2.6,33.49,2305.64,1.07,0,14.09,0,0,2.34,10.02,1.73,0,88,57
8,acetonitrile,acetonitrile,75-05-8,C2H3N,41,0.782,53,1.344,11.12,37.5,3.44,-45,82,0.41,-1.05,65.82,6321.2,1.22,0.82,6.1,1.37,0,2.79,3.09,2.29,0.12,39,52
9,diethyl carbonate,diethylcarbonate,105-58-8,C5H10O3,118,0.975,121,1.384,28.33,3.1,1.07,-43,127,0.82,1.32,12.32,2197.41,0.02,0,14.35,2.11,0,3.37,9.91,3.1,0.08,64,61
10,dimethyl sulfoxide,dimethylsulfoxide,67-68-5,C2H6OS,78,1.1,71,1.479,20.15,46.68,4.1,19,189,1.14,-1.93,0.83,3396.62,-0.7,0.58,8.57,2.04,0,4.05,4.93,0.73,1.48,35,72
11,tetrahydrofuran,thf,109-99-9,C4H8O,72,0.888,81,1.407,20,7.58,1.75,-108,66,0.47,0.7,205.7,2305.04,-0.44,0,10.12,1.09,0,0.81,9.04,0.77,0.59,62,53
12,N-methylpyrrolidon,n-methyl-2-pyrrolidinone,872-50-4,C5H9NO,99,1.03,96,1.47,26.84,32.2,4.09,-24,202,1.12,-0.46,1.41,2382.49,-0.94,0,12.01,1.93,0,2.44,9.39,0.9,1.2,42,50
13,diethyl ether,diethylether,60-29-7,C4H10O,74,0.713,104,1.352,22.5,4.33,1.15,-117,35,0.26,1.6,515.54,2114.17,0.39,0,12.08,0.96,0,0.55,11.27,0.85,0.38,82,58
14,"N,N-dimethylformamide",dimethylformamide,68-12-2,C3H7NO,73,0.949,77,1.431,19.92,36.71,3.86,-60,153,0.53,-0.95,25.54,2951.59,-0.89,0.04,9.71,1.86,0,2.99,6.53,1.07,1.02,63,69
15,triethylamine,triethylamine,121-44-8,C6H15N,101,0.728,139,1.401,33.79,2.42,0.87,-115,90,0.39,3.34,116.08,1756.64,0.87,0,15.97,0.01,0,0.5,15.26,0.21,0.06,97,61
16,3-methylbutyl acetate,isoamylacetate,123-92-2,C7H14O2,130,0.876,149,1.4,36.03,5.6,1.84,-78,142,0.99,2.29,3.25,1835.91,0.35,0.02,16.9,1.75,0,2.46,13.89,2.09,0.23,89,58
17,bis(2-methoxyethyl) ether,diglyme,111-96-6,C6H14O3,134,0.937,143,1.408,35.33,7.3,1.92,-64,162,0.76,0.76,0.71,1948.83,-0.11,0,16.83,2.76,0,2.84,13.48,2.01,1.26,69,65
18,"4-methyl-2-oxo-1,3-dioxolane",propylenecarbonate,108-32-7,C4H6O3,102,1.201,85,1.421,21.56,64.9,4.94,-55,242,1.8,-0.38,0.06,3623.31,0.5,0.59,10.14,2.1,0,4.62,4.65,3.45,0.1,24,54
19,octanol,1-octanol,111-87-5,C8H18O,130,0.827,158,1.427,40.43,10.3,1.68,-16,194,8.52,3.11,0.17,1730.04,0.56,0.74,18.89,1.15,0.32,0.93,18.01,0.89,0.62,88,69
20,dimethyl carbonate,dimethylcarbonate,616-38-6,C3H6O3,90,1.073,84,1.368,18.9,3.17,0.93,3,90,0.53,0.26,86.7,3002.72,-0.13,0.08,10.36,1.98,0,3.77,5.52,3.07,0.06,58,58
21,methoxybenzene,anisole,100-66-3,C7H8O,108,0.99,109,1.517,33.04,4.33,1.38,-37,154,1.16,2.18,4.03,2475.46,0.57,0.05,14.48,0.52,0,3.7,8.93,2.4,0.01,83,56
22,2-methyl-1-propanol,isobutanol,78-83-1,C4H10O,74,0.802,93,1.396,22.21,16.68,1.79,-108,108,2.56,1,16.28,2429.23,0.03,0.71,10.78,1.07,0.32,0.88,10.01,0.77,0.56,41,67
23,benzonitrile,benzonitrile,100-47-0,C7H5N,103,1,103,1.528,31.75,26,4.28,-13,190,1.45,1.45,102.17,3417.4,0.82,0.54,12.92,1.12,0,3.65,8.69,2.2,0.04,32,55
24,"1,4-butanediol","1,4-butadiol",110-63-4,C4H10O2,90,1.017,89,1.446,23.63,32.9,2.58,20,235,19.37,-0.32,0.03,2275.41,0.7,0.84,10.4,1.81,0.49,1.67,8.53,1.33,1.03,6,72
25,hexanol,1-hexanol,111-27-3,C6H14O,102,0.814,126,1.418,31.63,13.3,1.65,-47,158,5.12,2.03,1.22,2001.85,0.35,0.73,14.91,1.17,0.32,0.91,14.1,0.86,0.62,77,68
26,2-methylpropyl acetate,aceticacid-2-methylpropylester,110-19-0,C6H12O2,116,0.875,132.8,1.39,31.47,5.6,1.87,-99,118,0.68,1.85,6.7,1954.98,0.08,0.03,15.18,1.69,0,2.34,12.2,2.14,0.23,85,57
27,dodecane,dodecane,112-40-3,C12H26,170,0.749,227.4,1.422,57.74,2,0.07,-10,216,1.53,7.04,0.28,1336.65,3.29,0,27.65,0,0,0.08,27.57,0,0,10,56
28,octane,octane,111-65-9,C8H18,114,0.703,162.5,1.395,38.96,1.96,0,-57,126,0.54,4.93,15.86,1577.73,3.26,0,19.69,0,0,0.07,19.62,0,0,14,50
29,"2,4-dimethylpentane","2,4-dimethylpentane",108-08-7,C7H16,100,0.673,148.9,1.382,34.69,1.91,0,-119,81,0.36,4.09,155.22,1670.6,3.17,0,16.8,0,0,0.12,16.68,0,0,93,63
30,2-methoxyethanol,2-methoxyethanol,109-86-4,C3H8O2,76,0.965,78.9,1.402,19.21,16.93,2.04,-85,125,1.84,-0.22,16.42,2801.16,-0.12,0.54,9.66,1.78,0.2,2.11,7.25,1.71,0.71,39,67
31,"1,2-dimethylbenzene","1,2-dimethylbenzene",95-47-6,C8H10,106,0.88,120.6,1.505,35.8,2.57,0.45,-25,144,0.87,3.01,12.27,2101.99,1.23,0,15.72,0,0,2.12,11.74,1.87,0,81,55
32,diethyl oxalate,ethyloxalat,95-92-1,C6H10O4,146,1.079,135.4,1.41,33.56,8.1,2.54,-40,183,1.53,1.3,0.44,2253.69,0.02,0.22,16,2.8,0,4.95,9.74,4.27,0.07,61,59
33,acetophenone,acetophenone,98-86-2,C8H8O,120,1.024,117.3,1.533,36.39,17.4,3.05,20,202,1.82,1.34,0.47,2574.02,0.26,0.12,14.58,1.46,0,4.1,10.15,1.69,0.21,67,56
34,1-chloropentane,1-chloropentane,543-59-9,C5H11Cl,107,0.882,120.9,1.412,30.07,6.6,2.16,-99,105,0.49,3.06,41.8,1565.23,1.4,0.03,15.73,0.02,0,1.43,12.34,2,0,7,46
35,"N,N-dimethylacetamide","n,n-dimethylacetamide",127-19-5,C4H9NO,87,0.942,92.5,1.438,24.31,37.78,3.72,-20,165,0.63,-0.5,10.11,2548.2,-0.95,0.02,11.43,1.84,0,2.85,8.47,0.78,1.19,44,67
36,2-propanol,2-propanol,67-63-0,C3H8O,60,0.785,76.5,1.377,17.61,19.92,1.59,-89,82,2.4,0.35,34.41,2804.37,-0.46,0.7,8.91,1.14,0.29,1.09,7.92,0.8,0.64,50,72
37,diisopropyl ether,diisopropylether,108-20-3,C6H14O,102,0.724,141.1,1.368,31.8,4.04,1.13,-86,68,0.47,2.51,28.72,1792.09,0.83,0,15.58,0.79,0,0.74,14.56,0.57,0.49,86,60
38,triethoxymethane,triethyl orthoformate,122-51-0,C7H16O3,148,0.893,166,1.39,39.34,4.779,1.67,-61,143,1.08,1.79,0.56,1758.45,0.22,0,18.63,2.14,0,2.36,15.88,1.81,0.73,82,63
39,methyl octanoate,methyloctanoate,111-11-5,C9H18O2,158,0.878,180.2,1.417,45.32,4.13,1.67,-40,192,1.77,3.59,0.37,1608.72,0.74,0.01,21.44,1.67,0,2.52,18.13,2.32,0.16,92,58
40,propylbenzene,n-propylbenzene,103-65-1,C9H12,120,0.864,139.1,1.493,40.42,2.37,0.42,-92,159,1.16,3.61,3.97,1899.16,1.39,0.01,17.89,0,0,2.07,14.05,1.78,0,95,60
41,"1,3,5-trimethylbenzene","1,3,5-trimethylbenzene",108-67-8,C9H12,120,0.864,139.2,1.499,40.86,2.4,0.1,-45,165,1.12,3.66,3.87,2260,1.5,0,17.86,0.01,0,1.74,14.24,1.9,0,92,60
42,dibutylamine,dibutylamine,111-92-2,C8H19N,129,0.767,168.5,1.415,42.23,3.2,0.98,-62,160,0.6,3.97,4.67,1578.86,1.34,0.23,20.39,0.66,0,0.8,19.66,0.36,0.48,90,68
43,pyridine,pyridine,110-86-1,C5H5N,79,0.983,80.5,1.51,24.07,12.4,2.37,-42,115,0.83,0.53,19.58,3350.01,0.07,0.13,10.65,0.93,0,3.28,7.17,0.78,0.48,59,60
44,"2,4,6-Trimethylpyridine","2,4,6-collidine",108-75-8,C8H11N,121,0.917,132.2,1.498,38.74,12.02,2.04,43,171,1.44,2.32,1.03,2062.78,0.25,0.01,16.72,0.88,0,2.51,13.71,0.92,0.46,80,62
45,"2,6-dimethyl-4-heptanone","2,6-dimethyl-4-heptanone",108-83-8,C9H18O,142,0.807,176.3,1.412,43.86,9.91,2.66,-42,168,0.99,3.15,2.57,1603.78,0.85,0,19.86,1.26,0,1.51,18.03,1.33,0.25,92,57
46,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane","1,8-cineole",470-82-6,C10H18O,154,0.923,167.2,1.458,45.63,4.84,1.58,2,176,1.75,3.02,0.54,1888.9,1.05,0,18.3,0.86,0,0.58,17.47,0.55,0.56,96,56
47,"2,3-dimethylpentane","2,3-dimethylpentane",565-59-3,C7H16,100,0.694,144.3,1.392,34.36,1.94,0,-135,90,0.34,4,186.02,1702.71,3.15,0,16.47,0,0,0.13,16.34,0,0,97,64
48,tributylamine,tri-n-butylamine,102-82-9,C12H27N,185,0.778,238.2,1.428,61.29,2.29,0.76,-70,216,1.73,6.58,0.13,1328.7,1.89,0,27.98,0,0,0.33,27.37,0.28,0.14,98,66
49,cumene,isopropylbenzene,98-82-8,C9H12,120,0.857,140.3,1.491,40.62,2.38,0.65,-96,151,1.1,1.1,9.86,1920.88,1.39,0,17.54,0,0,2.12,13.7,1.72,0,95,59
340,"N,N-dimethylaniline","n,n-dimethylaniline",121-69-7,C8H11N,121.18,0.956,126.8,1.558,40.87,4.4,1.61,2,194,1.36745034,2.81303506,1.07869118,2171.588398,0.86179252,0.0166,16.79855,0.15175,0,3.06,10.84,3.06,0,84,56
82,1-methoxy-2-methylbenzene,1-methoxy-2-methylbenzene,578-58-5,C8H10O,122.17,0.985,124,1.505,36.79,3.57,1,-34,171,1.31320076,2.87873146,1.75558178,2414.484515,0.84159999,0.0268,16.3488,0.4505,0,3.27,11.05,2.51,0,87,58
84,1-methoxy-4-methylbenzene,4-methylanisole,104-93-8,C8H10O,122.17,0.97,125.9,1.512,37.79,4.03,1.2,-50,175,1.41198521,2.70586835,1.56676181,2170.926434,0.71864849,0.0351,16.424,0.5562,0,3.33,11.26,2.41,0.02,87,59